Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,..,..,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,-9.57564016993408,7.46285871776054,2.2277040745779,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.82669611912765,3.93661689192599,3.96171911223713
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,0.800000580174981,3.80000000158476,3.20000000089023,3.90000000017621,1.49999999895587,1.40000000088281,0.899999999219148,-4.99999999908597,3.79999999900707,3.60000000094915,4.10000000005964,3.29999999939609
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..,..,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,3.78138754899436,3.52836236122388,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,3.37182032638998
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,-3.45009868500253,3.05462423430785,0.943571561325001,-2.58004964404932,-0.147212941085755,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04472652391918,1.07809951970673,4.42390452944746
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,3.01181316687232,6.20355212555867,1.42161997595372,4.1203675438061,2.71272657973627,6.71200487159726,3.1722219373937,-18.8687765208148,8.17286311186622,9.10780623385958,2.42736300110336,4.32752145036402
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.46721377810472,-0.78899893905691,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,5.26987967384072,-1.61100162090189,-1.71910514722377
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,..,5.90000000312092,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000065645,12.5999999997766,8.29999999959539,5.90000000046228
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,3.96140172360629,7.62292064930222,-0.623625902371245,1.71962497989442,7.04853338603499,2.39708619981323,-2.23244202651868,-26.2118202145169,24.1326273569798,8.51791810517545,4.26371941452948,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.57741096455418,3.9215029305806,2.19016928695221,2.7593859723839,2.27959179820343,2.87846971467883,2.17154505737176,-0.119590735829973,2.11116814768786,4.24238555336139,3.44199220009025,1.4311125201703
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,4.34564183768971,3.18952292988787,1.30352331826198,2.11721964494312,2.27224992038207,2.48422114080024,1.75497619649288,-6.31825509209936,4.79532885699543,5.27789448538658,-0.954962529389121,-1.17354053552188
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,..,11.0999991434346,1.04954636804402,-3.06359845351244,0.153614646686151,1.5004017069941,2.47980893443938,-4.19896079231232,5.61644026860644,4.71468037857544,1.35447731755447,4.07140210544654
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,-1.59624908755521,4.14841930754267,0.996748943241684,-1.15626703753399,3.37123648611268,2.39852000603884,-0.839051301013157,-20.0895554324841,17.5868973691568,10.8774550145968,3.0487749628502,3.37850660746146
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,4.43799717642609,5.30006940305884,2.50787205267615,3.81499327422425,4.95383534123657,2.05258864979861,2.05287774418655,-5.9113629524152,4.35004091668986,6.18016125475185,3.87811614845566,3.01724839092739
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.62225816160344,5.29329471892532,6.55263987816197,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889,4.22325911250161
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,-3.30759330759331,4.44718962836241,-0.846098521356325,1.79193033431267,0.12844600157031,-1.17406509373819,0.652585417698418,-15.0543629495892,-0.254965880216531,17.8328630251327,4.09382010970572,3.80000031896743
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,..,5.80000326754649,-3.82957055828362,-2.52644643552377,2.53218350023008,3.14919759374968,1.4464554769185,-0.67274295062424,2.43886212396822,-4.65839591573585,4.12654007153881,4.00984852465452
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,3.13740221731629,3.71670510672588,1.47416433731927,1.19350273007754,1.47446761556785,1.87796847383565,2.4428900448156,-4.7929839083518,6.20759981274431,4.2593607365269,1.201691781997,1.01889862506124
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,11.4464944649447,12.2404595814526,2.87618379515959,0.0545516535970023,-1.81285354051658,1.11057125008675,4.26763689618086,-13.9029100645218,17.7461701205679,9.65297772389758,1.14901682065862,8.15178982706797
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,8.9761343599898,5.85771420543269,1.77815106030278,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25294705373625,6.3527773854442,7.45311566226201
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,0.0192122847020073,9.31715641086083,0.775529699568978,-0.657206304259205,3.61141983706115,-0.432801300339307,0.307106461240664,-6.82757303480177,4.60742917109469,6.47622571186707,4.91721557264164,2.10536882220231
